period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
actual_current,riskadj_h120_t10_step_up,2010-02-11,2026-08-07,100000.0000000000,21126658.5289612934,210.2665852896,0.3836542239,113,6.8547421525,407966.0591348775,-0.4954882392,2021-11-19,2022-09-30,315,2023-06-13,256.0000000000,571.0000000000,571,2021-11-19
actual_current,riskadj_h120_t10_block_cut,2010-02-11,2026-08-07,100000.0000000000,25556654.8677617237,254.5665486776,0.3997247692,80,4.8529147982,274874.4232371675,-0.4929692307,2021-11-19,2022-09-30,315,2023-06-13,256.0000000000,571.0000000000,571,2021-11-19
actual_current,riskadj_h120_t15_step_up,2010-02-11,2026-08-07,100000.0000000000,19253961.0437362604,191.5396104374,0.3758854145,116,7.0367264574,349572.8253954278,-0.4697066476,2024-12-16,2025-04-07,112,2026-05-28,416.0000000000,528.0000000000,560,2021-11-19
actual_current,riskadj_h120_t15_block_cut,2010-02-11,2026-08-07,100000.0000000000,24351355.5626443848,242.5135556264,0.3956287855,92,5.5808520179,310165.9723273878,-0.4577020286,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,cool_s5_l30_r65_step_up,2010-02-11,2026-08-07,100000.0000000000,22689262.6185925156,225.8926261859,0.3896564417,207,12.5569170404,549030.6261998964,-0.4979440090,2021-11-19,2022-12-28,404,2023-06-15,169.0000000000,573.0000000000,573,2021-11-19
actual_current,cool_s5_l30_r65_block_cut,2010-02-11,2026-08-07,100000.0000000000,29759460.2066726610,296.5946020667,0.4127120354,98,5.9448206278,376076.8341873970,-0.4577021998,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,cool_s5_l30_r80_step_up,2010-02-11,2026-08-07,100000.0000000000,22280678.0247997269,221.8067802480,0.3881254163,246,14.9227130045,763445.0203912081,-0.5986778561,2021-11-19,2022-12-28,404,2024-01-23,391.0000000000,795.0000000000,795,2021-11-19
actual_current,cool_s5_l30_r80_block_cut,2010-02-11,2026-08-07,100000.0000000000,32319301.3788771108,322.1930137888,0.4198012813,92,5.5808520179,360019.2979356355,-0.4577021961,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,cool_s5_l30_r95_step_up,2010-02-11,2026-08-07,100000.0000000000,24279950.4373669475,241.7995043737,0.3953801932,259,15.7113116592,821076.8885965637,-0.6120510530,2021-11-19,2023-01-05,412,2024-01-19,379.0000000000,791.0000000000,791,2021-11-19
actual_current,cool_s5_l30_r95_block_cut,2010-02-11,2026-08-07,100000.0000000000,30322365.2787440158,302.2236527874,0.4143187840,92,5.5808520179,338247.8947677657,-0.4577022463,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,cool_s5_l60_r65_step_up,2010-02-11,2026-08-07,100000.0000000000,24996786.8759675026,248.9678687597,0.3978452522,192,11.6469955157,537923.1868776280,-0.5098224143,2021-11-19,2022-12-28,404,2023-07-13,197.0000000000,601.0000000000,601,2021-11-19
