period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
full_pre2026,combo_tqqq_100_75_block_cut,1999-03-10,2025-12-31,100000.0000000000,175917870.5946190357,1758.1787059462,0.3214112468,154,5.7436275911,1933498.6317123855,-0.5288318220,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1173,2000-01-03
full_pre2026,combo_tqqq_150_55_floor50,1999-03-10,2025-12-31,100000.0000000000,138986048.4099429846,1388.8604840994,0.3098487314,213,7.9441082916,1897965.6625881819,-0.5094625024,2007-10-31,2009-04-07,524,2009-12-22,259.0000000000,783.0000000000,1334,2000-01-03
full_pre2026,combo_tqqq_150_55_floor100,1999-03-10,2025-12-31,100000.0000000000,102363850.3145228326,1022.6385031452,0.2949925803,277,10.3310704074,1853863.4853364858,-0.7130492947,2000-01-03,2001-10-30,666,2006-01-06,1529.0000000000,2195.0000000000,2195,2000-01-03
full_pre2026,combo_tqqq_150_55_step_up,1999-03-10,2025-12-31,100000.0000000000,159075422.9250438511,1589.7542292504,0.3164606885,291,10.8532183703,2415000.8019203399,-0.5287157205,2007-10-31,2009-05-13,560,2010-03-23,314.0000000000,874.0000000000,1249,2000-01-03
full_pre2026,combo_tqqq_150_55_block_cut,1999-03-10,2025-12-31,100000.0000000000,151180496.2392513752,1510.8049623925,0.3139637202,136,5.0722944961,1572277.9869849482,-0.5288319256,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1281,2000-01-03
full_pre2026,combo_tqqq_150_65_floor50,1999-03-10,2025-12-31,100000.0000000000,181079568.0246983171,1809.7956802470,0.3228372664,198,7.3846640457,2278668.6751567842,-0.4823701191,2007-10-31,2008-09-17,322,2009-11-16,425.0000000000,747.0000000000,1326,2000-01-03
full_pre2026,combo_tqqq_150_65_floor100,1999-03-10,2025-12-31,100000.0000000000,156996743.5187169909,1568.9674351872,0.3158150277,237,8.8392190851,2726915.3190436536,-0.6261155510,2000-01-03,2000-07-10,189,2005-11-21,1960.0000000000,2149.0000000000,2149,2000-01-03
full_pre2026,combo_tqqq_150_65_step_up,1999-03-10,2025-12-31,100000.0000000000,183409367.5405243635,1833.0936754052,0.3234681447,241,8.9884042173,2698150.8876685053,-0.4967352967,2021-11-19,2022-09-30,315,2023-07-13,286.0000000000,601.0000000000,1281,2000-01-03
full_pre2026,combo_tqqq_150_65_block_cut,1999-03-10,2025-12-31,100000.0000000000,174344414.4499057233,1742.4441444991,0.3209685311,148,5.5198498928,1863390.4414635466,-0.5288318654,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1173,2000-01-03
full_pre2026,combo_tqqq_150_75_floor50,1999-03-10,2025-12-31,100000.0000000000,169937708.8097998500,1698.3770880980,0.3197078536,172,6.4149606862,1977405.1721526384,-0.5039819549,2007-10-31,2009-05-13,560,2009-12-28,229.0000000000,789.0000000000,1249,2000-01-03
full_pre2026,combo_tqqq_150_75_floor100,1999-03-10,2025-12-31,100000.0000000000,139729079.6186861694,1396.2907961869,0.3101092312,193,7.1981826305,1972138.7854834988,-0.4882722698,2024-12-16,2025-05-23,158,,,,1465,2000-01-03
